"AtcoCode","TiplocCode","CrsCode","StationName","StationNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"9100STVNSTN","STVNSTN","STV","Stevenston Rail Station","","U",226940,641290,"2005-04-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100ROYBDGE","ROYBDGE","RYB","Roy Bridge Rail Station","","U",227250,781030,"2005-04-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100GRENCKW","GRENCKW","GKW","Greenock West Rail Station","","U",227260,676160,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100GRENCKC","GRENCKC","GKC","Greenock Central Rail Station","","U",228200,675900,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100WHINH","WHINH","WNL","Whinhill Rail Station","","U",228540,675110,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100MENHENT","MENHENT","MEN","Menheniot Rail Station","","U",228970,61260,"2005-04-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100VALLEY","VALLEY","VAL","Valley Rail Station","","U",229200,379100,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100CRTSDYK","CRTSDYK","CDY","Cartsdyke Rail Station","","U",229500,675500,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100KILWNNG","KILWNNG","KWN","Kilwinning Rail Station","","U",229600,643600,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100HLNSBRC","HLNSBRC","HLC","Helensburgh Central Rail Station","","U",229700,682400,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100DALRY","DALRY","DLY","Dalry Rail Station","","U",229752,649195,"2003-11-04T00:00:00","2007-10-11T16:51:10",2,"rev"
"9100MAYBOLE","MAYBOLE","MAY","Maybole Rail Station","","U",229860,610030,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100HLNSBRU","HLNSBRU","HLU","Helensburgh Upper Rail Station","","U",229920,683300,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100BOORCHY","BOORCHY","BRO","Bridge of Orchy Rail Station","","U",230100,739400,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev"
"9100BOGSTON","BOGSTON","BGS","Bogston Rail Station","","U",230738,674875,"2003-11-04T00:00:00","2007-10-11T16:51:10",2,"rev"
"9100CRGDRN","CRGDRN","CGD","Craigendoran Rail Station","","U",231000,681300,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100ARCHRAT","ARCHRAT","ART","Arrochar & Tarbet Rail Station","","U",231200,704600,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev"
"9100IRVN","IRVN","IRV","Irvine Rail Station","","U",231600,638500,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100ARDLUI","ARDLUI","AUI","Ardlui Rail Station","","U",231700,715500,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev"
"9100PTGLSGW","PTGLSGW","PTG","Port Glasgow Rail Station","","U",232070,674430,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100GLGN","GLGN","GLG","Glengarnock Rail Station","","U",232190,652740,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100LCHLCHR","LCHLCHR","LCC","Lochluichart Rail Station","","U",232335,862562,"2003-11-04T00:00:00","2010-02-25T14:53:40",2,"rev"
"9100TROON","TROON","TRN","Troon Rail Station","","U",232560,630880,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100TYNDRML","TYNDRML","TYL","Tyndrum Lower Rail Station","","U",232700,730100,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100RHOSNGR","RHOSNGR","RHO","Rhosneigr Rail Station","","U",232800,373800,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100BARASIE","BARASIE","BSS","Barassie Rail Station","","U",232900,632900,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100TYNDRMU","TYNDRMU","UTY","Upper Tyndrum Rail Station","","U",233390,730220,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100AYRR","AYRR","AYR","Ayr Rail Station","","U",234060,621390,"2003-11-04T00:00:00","2010-01-12T17:14:40",3,"rev"
"9100NWTOA","NWTOA","NOA","Newton-on-Ayr Rail Station","","U",234130,623160,"2005-03-17T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100WHHL","WHHL","WDL","Woodhall Rail Station","","U",234210,674090,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100CDRS","CDRS","CDR","Cardross Rail Station","","U",234480,677330,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
